step:100 learning_rate= 0.100000 ctc_loss=17.181931 sequence_distance= 0.978693 train_accuracy= 0.005208
step:200 learning_rate= 0.100000 ctc_loss=19.667343 sequence_distance= 0.974179 train_accuracy= 0.006944
step:300 learning_rate= 0.100000 ctc_loss=12.516271 sequence_distance= 0.984776 train_accuracy= 0.004808
step:400 learning_rate= 0.100000 ctc_loss=18.827942 sequence_distance= 0.969523 train_accuracy= 0.000000
step:500 learning_rate= 0.100000 ctc_loss=14.647200 sequence_distance= 0.954708 train_accuracy= 0.000000
step:600 learning_rate= 0.100000 ctc_loss=15.709935 sequence_distance= 0.960689 train_accuracy= 0.000000
step:700 learning_rate= 0.100000 ctc_loss=18.412294 sequence_distance= 0.943155 train_accuracy= 0.000000
step:800 learning_rate= 0.100000 ctc_loss=15.336269 sequence_distance= 0.965030 train_accuracy= 0.000000
step:900 learning_rate= 0.100000 ctc_loss=15.951204 sequence_distance= 0.895585 train_accuracy= 0.010417
step:1000 learning_rate= 0.100000 ctc_loss=18.914448 sequence_distance= 0.939906 train_accuracy= 0.000000
step:1100 learning_rate= 0.080000 ctc_loss=14.385012 sequence_distance= 0.988636 train_accuracy= 0.000000
step:1200 learning_rate= 0.080000 ctc_loss=12.766314 sequence_distance= 0.874926 train_accuracy= 0.027083
step:1300 learning_rate= 0.080000 ctc_loss=13.980540 sequence_distance= 0.939931 train_accuracy= 0.000000
step:1400 learning_rate= 0.080000 ctc_loss=14.531689 sequence_distance= 0.849574 train_accuracy= 0.062973
step:1500 learning_rate= 0.080000 ctc_loss=13.567204 sequence_distance= 0.821181 train_accuracy= 0.023438
step:1600 learning_rate= 0.080000 ctc_loss=10.939522 sequence_distance= 0.771280 train_accuracy= 0.085417
step:1700 learning_rate= 0.080000 ctc_loss=14.442077 sequence_distance= 0.784483 train_accuracy= 0.026515
step:1800 learning_rate= 0.080000 ctc_loss= 7.906079 sequence_distance= 0.581250 train_accuracy= 0.177778
step:1900 learning_rate= 0.080000 ctc_loss=14.432024 sequence_distance= 0.754167 train_accuracy= 0.072917
step:2000 learning_rate= 0.080000 ctc_loss= 8.606985 sequence_distance= 0.644792 train_accuracy= 0.064583
step:2100 learning_rate= 0.064000 ctc_loss= 8.408362 sequence_distance= 0.523810 train_accuracy= 0.148313
step:2200 learning_rate= 0.064000 ctc_loss= 8.285039 sequence_distance= 0.540104 train_accuracy= 0.250000
step:2300 learning_rate= 0.064000 ctc_loss=10.851302 sequence_distance= 0.488492 train_accuracy= 0.241319
step:2400 learning_rate= 0.064000 ctc_loss= 9.165815 sequence_distance= 0.587500 train_accuracy= 0.180357
step:2500 learning_rate= 0.064000 ctc_loss= 8.891643 sequence_distance= 0.472049 train_accuracy= 0.318924
step:2600 learning_rate= 0.064000 ctc_loss= 6.087839 sequence_distance= 0.379687 train_accuracy= 0.303125
step:2700 learning_rate= 0.064000 ctc_loss= 5.951113 sequence_distance= 0.313880 train_accuracy= 0.465774
step:2800 learning_rate= 0.064000 ctc_loss= 4.184641 sequence_distance= 0.203125 train_accuracy= 0.677083
step:2900 learning_rate= 0.064000 ctc_loss= 5.050024 sequence_distance= 0.194320 train_accuracy= 0.574901
step:3000 learning_rate= 0.064000 ctc_loss= 3.319916 sequence_distance= 0.046334 train_accuracy= 0.886905
step:3100 learning_rate= 0.051200 ctc_loss= 1.800618 sequence_distance= 0.140625 train_accuracy= 0.859375
step:3200 learning_rate= 0.051200 ctc_loss= 2.858069 sequence_distance= 0.129315 train_accuracy= 0.784375
step:3300 learning_rate= 0.051200 ctc_loss= 2.214462 sequence_distance= 0.054640 train_accuracy= 0.945360
